qid	Raw	Human	T5
811	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
812	Now it stopped working. Why?	Now my garage door opener stopped working. Why?	Why has the garage door opener stopped working?
813	How much does it cost for someone to fix it?	How much does it cost for someone to repair a garage door opener?	How much does it cost for someone to fix the garage door opener?
814	How about replacing it instead?	How much does it cost to replace a garage door opener?	How about replacing your garage door opener instead?
815	How do I choose a new one?	How do I choose a new garage door opener?	How do I choose a new garage door opener?
816	What does a smart one do?	What does a smart garage door opener do?	What does a smart garage door opener do?
817	What's important for me to know about their safety?	What's important for me to know about the safety of smart garage door openers?	What's important for me to know about my garage door opener's safety?
818	How could they be hacked?	How could smart garage door openers be hacked?	How could your garage door opener be hacked?
821	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.
822	What are the pros and cons?	What are the pros and cons of GMO food labeling?	What are the pros and cons of GMO Food labeling?
823	And what about the cons?	What are the cons of GMO food labeling?	And what about the cons of GMO Food labeling?
824	What are the EU rules?	What are the GMO food labeling rules in the EU?	What are the EU rules for GMO labeling?
825	Tell me more about traceability tools.	Tell me about traceability tools for GMO foods in the EU.	Tell me more about traceability tools for GMO food labeling
826	What is the role of Co-Extra?	What is the role of Co-Extra in GMO food traceability in the EU?	What is the role of Co-Extra in GM food labeling?
827	How is testing done for contamination?	How is food tested for GMO contamination?	How is testing done for contamination of genetically modified food?
828	What's the difference between the European and US approaches?	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	What's the difference between the European and US approaches to GMO labeling?
829	How does the DNA-based method work?	How does the DNA-based method work for testing GMO contamination.	How does the DNA-based method work for GMOs?
8210	How could Co-Extra improve it?	How could Co-Extra improve DNA-based testing for GMO contamination?	How could Co-Extra improve GMO Food labeling?
831	What are some interesting facts about bees?	What are some interesting facts about bees?	What are some interesting facts about bees?
832	Why doesn't it spoil?	Why doesn't honey spoil?	Why doesn't honey never spoil?
833	Why are so many dying?	Why are so many bees dying?	Why are so many bees dying?
834	What can be done to stop it?	What can be done to stop bees from dying?	What can be done to stop bee deaths?
835	What has happened to their habitat?	What has happened to bee habitat?	What has happened to bee habitat?
836	What can I do to help with the problem?	What can I do to help provide a habitat for bees?	What can I do to help with the problem of honey bees dying?
837	What is the cause of CCD?	What is the cause of colony collapse disorder?	What is the cause of CCD?
838	What would happen if they died out?	What would happen if the bees died out?	What would happen if the bees died out?
841	How does seed investment work for startups?	How does seed investment work for startups?	How does seed investment work for startups?
842	Tell me more about angel rounds.	Tell me more about angel investment rounds.	Tell me more about angel rounds for startups
843	How does it compare with crowdfunding?	How does an angel investment round compare with crowdfunding?	How does Tell Me More compare with crowdfunding?
844	How much is a typical A series round?	How much is a typical A series investment round?	How much is a typical A series round for startups?
845	What are the risks of investing?	What are the risks of investing in startups?	What are the risks of investing in OpenGov?
846	What are the different types of instruments used by VCs?	What are the different types of instruments used by Venture Capitalists?	What are the different types of instruments used by VCs?
851	How much does a used Lamborghini cost?	How much does a Lamborghini cost?	How much does a used Lamborghini cost?
852	How does it compare to a Ferrari?	How does a Lamborghini compare to a Ferrari?	How does a used Lamborghini compare to a Ferrari?
853	Interesting. What about for a pimped-out food truck?	Interesting. How much does a pimped-out food truck cost?	What about for a pimped-out food truck?
854	What licenses and permits are needed?	What licenses and permits are needed for a food truck?	What licenses and permits are needed for a food truck?
855	What makes a good location?	What makes a good food truck location?	What makes a good location for a pimped-out food truck?
856	What is a typical day like?	What is a typical day like running a food truck?	What is a typical day like for a food truck?
857	How can I run it successfully?	How can I run a successful food truck?	"How can I run the Huracan, Huracn successfully?"
858	What are some good examples to learn from?	What are some good examples of successful food trucks to learn from?	What are some good examples to learn from?
859	"Besides inventive flavors, what made it successful?"	"Besides inventive flavors, what made Kogi successful?"	"Besides inventive flavors, what made the food truck Kogi Korean BBQ successful?"
861	What is the climate like in Utah?	What is the climate like in Utah?	What is the climate like in Utah?
862	How does Salt Lake City differ?	How does the climate of Salt Lake City differ from Utah overall?	How does Salt Lake City differ from other cities in the US?
863	What is its main economic activity?	What is the main economic activity of Salt Lake City?	What is Salt Lake City's main economic activity?
864	What was the impact of the 2002 games?	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	"What was the impact of the 2002 Winter Olympics for Salt Lake City, Utah?"
865	What were important ski locations used?	What were important ski locations used in the 2002 olympic winter games?	What were important ski locations used at the 2002 Winter Olympics in Salt Lake City?
866	What are the important non-ski events that happen in the city?	What are the important non-ski events that happen in Salt Lake City?	"What are the important non-ski events that happen in Salt Lake City, Utah?"
867	What about some popular non-winter things to do in the area?	What are some popular non-winter things to do in the Salt Lake City area?	What about some popular non-winter things to do in Salt Lake City?
871	What are the different types of orange trees?	What are the different types of orange trees?	What are the different types of orange trees?
872	How can you tell them apart?	How can you tell different types of orange trees apart?	How can you tell the two types of oranges apart?
873	What type has thorns?	What type of orange tree has thorns?	What type of orange tree has thorns?
874	Where do they originally come from?	Where do orange trees originally come from?	Where do Osage Orange trees originally come from?
875	Tell me about the Hamlin variety.	Tell me about the Hamlin orange variety.	Tell me about the Hamlin variety of orange trees.
877	What are the different types of navels?	What are the different types of navel oranges?	What are the different types of navels in the orange tree?
878	Which is the most delicious?	Which type of navel orange is the most delicious?	Which is the most delicious orange?
879	How do they compare with blood oranges?	How do cara cara oranges compare with blood oranges?	How do Cara Cara oranges compare with blood oranges?
881	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
882	What was the role of slavery?	What was the role of slavery in the labor system of the Ottoman Empire?	What was the role of slavery in the Ottoman Empire?
883	How did it govern?	How did the Ottoman Empire govern?	How did the Ottoman Empire govern?
884	Why was it important?	Why was the Ottoman Empire important?	Why was the system of administrative organization of the Ottoman Empire important?
885	What was the culture like?	What was the culture like in the Ottoman Empire?	What was the culture like in the Ottoman Empire?
886	What was the role of storytellers?	What was the role of storytellers in the culture of the Ottoman Empire?	What was the role of storytellers in the Ottoman Empire?
887	What were popular stories?	What were popular stories told by meddahs in the Ottoman Empire?	What were popular Turkish stories?
888	What was the importance of the millet?	What was the importance of the confessional millet system to the Ottoman Empire?	What was the importance of the millet in the Ottoman Empire?
889	Why did the British continue it?	Why did the British continue the confessional millet system from the Ottoman Empire?	Why did the British continue milling?
8810	What is its historical importance in developing national identities?	What is the historical importance of the confessional millet system in the development of national identities?	What is slavery's historical importance in developing national identities?
891	What is the relationship between predator and prey?	What is the relationship between predator and prey?	What is the relationship between predator and prey?
892	What do predator plants eat?	What do predator plants eat?	What do predator plants eat?
893	What about Venus flytraps in particular?	What do Venus flytraps eat?	What about Venus flytraps in particular?
894	Where is it native to?	Where is the Venus flytrap native to?	Where is Dionaea muscipula native to?
895	How do they attract and catch their prey?	How do Venus flytraps attract and catch their prey?	How do Venus flytraps attract and catch their prey?
896	What are other similar plants from its native area?	What other carnivorous plants are native to North and South Carolina?	What are other similar plants to Venus flytraps from its native area?
897	How do populations of predators and prey relate?	How do populations of predators and prey relate?	How do populations of predators and prey relate?
898	Why would the roles reverse?	Why would the roles of predator and prey reverse?	Why would the roles of predator and prey reverse?
