qid	manual	paper	myModel
311	What is throat cancer?	What is throat cancer	What is throat cancer?
312	Is throat cancer treatable?	Is throat cancer treatable	Is throat cancer treatable?
313	Tell me about lung cancer.	Tell me about lung cancer	Tell me about lung cancer. throat
314	What are lung cancer's symptoms?	What are lung cancer's symptoms	What are lung cancer's symptoms? throat
315	Can lung cancer spread to the throat?	Can lung cancer spread to the throat	Can lung cancer spread to the throat?
316	What causes throat cancer?	What causes throat cancer	What causes throat cancer?
317	What is the first sign of throat cancer?	What is the first sign of throat cancer	What is the first sign of throat cancer?
318	Is throat cancer the same as esophageal cancer?	Is throat cancer the same as esophageal cancer	Is esophageal cancer the same as esophageal cancer? throat
319	What's the difference in throat cancer and esophageal cancer's symptoms?	What's the difference between throat cancer and esophageal cancer lung	What's the difference in esophageal cancer symptoms? throat
321	What are the different types of sharks?	What are the different types of sharks	What are the different types of sharks?
322	Are sharks endangered? If so, which species?	If so, which shark species	Are sharks endangered?
323	Tell me more about tiger sharks.	Tell me more about tiger sharks	Tell me more about tiger sharks.
324	What is the largest shark ever to have lived on Earth?	What is the largest shark ever to have lived on Earth	What is the largest ever shark to have lived on earth? sharks
325	What's the biggest shark ever caught?	What's the biggest shark ever caught	What's the biggest shark ever caught? sharks
326	What about for great whites?	What's the biggest shark ever caught	What's the biggest shark ever caught? sharks
327	Tell me about Mako sharks.	Tell me about makos sharks	Tell me about makos. sharks
328	What are Mako shark adaptations?	What are makos sharks adaptations	What are makos adaptations? sharks
329	Where do Mako sharks live?	Where do tiger sharks live makos	Where do makos live? sharks tiger
3210	What do Mako sharks eat?	What do tiger sharks eat makos	What do sharks eat? tiger great
3211	How do Mako sharks compare with Tiger sharks for being dangerous?	How do tiger sharks compare with tigers for being dangerous	How do sharks compare with tigers for being dangerous?
331	Tell me about the Neverending Story film.	Tell me about the Neverending Story film	Tell me about the Neverending Story film.
332	What is the Neverending Story film about?	What is Neverending Story film about	What is the Neverending Story film about?
333	How was the Neverending Story film received?	How was the Neverending Story film received	How was the Neverending Story film received?
334	Did the Neverending Story film win any awards?	Did the Neverending Story film win any awards	Did the Neverending Story film win any awards?
335	Was the Neverending Story film a book first?	Was the Neverending Story a book first film	Was the Neverending Story film a book first?
336	Who was the author and when was the Neverending Story film published?	Who was the author of the Neverending Story film and when what it published	Who was the author of the Neverending Story film and when what it published?
337	What are the main themes of the Neverending Story film?	What are the main themes of the Neverending Story film	What are the main themes of the Neverending Story film?
338	Who are the main characters of the the Neverending Story film?	Who are the main characters of the Neverending Story film	Who are the main characters of the Neverending Story film?
341	Tell me about the Bronze Age collapse.	Tell me about the Bronze Age collapse	Tell me about the Bronze Age collapse.
342	What is the evidence for the Bronze Age collapse?	What is the evidence for the Bronze Age collapse	What is the evidence for the Bronze Age collapse?
343	What are some of the possible causes of the Bronze Age collapse?	What are some of the possible causes of the Bronze Age collapse	What are some of the possible causes of the Bronze Age collapse?
344	Who were the Sea Peoples during the Bronze Age collapse?	Who were the Sea Peoples age bronze collapse	Who were the Sea Peoples? collapse
345	What was their role in the Bronze Age collapse?	What was the Sea Peoples role in the Bronze Age collapse	What was the role of the Sea Peoples in the Bronze Age collapse?
346	What other factors led to a breakdown of trade during the Bronze Age collapse?	What other factors led to a breakdown of trade in the Bronze Age sea peoples	What other factors led to a breakdown of trade in the Bronze Age? sea
347	What about environmental factors during the Bronze Age collapse?	What about environmental factors in the Bronze Age collapse	What about environmental factors led to a breakdown of trade?
348	What empires survived the Bronze Age collapse?	What empires survived the Bronze Age collapse	What empires survived?
371	What was the Stanford Experiment?	What was the Stanford Experiment	What was the Stanford Experiment?
372	What did the Stanford Experiment show?	What did the Stanford Experiment show	What did the Stanford Experiment show?
373	Tell me about the author of the Stanford Experiment.	Tell me about the author of the Stanford Experiment	Tell me about the author of the Stanford Experiment.
374	Was the Stanford Experiment ethical?	Was the Stanford Experiment ethical	Was the Stanford Experiment ethical?
375	What are other similar experiments to the Stanford Experiment?	What are other similar experiments stanford	What are other similar experiments? stanford
376	What happened in the Milgram experiment?	What happened in the Milgram Experiment stanford	What happened in the Milgram experiment? stanford
377	Why was the Milgram experiment important?	Why was the Stanford Experiment important milgram	Why was the Stanford Experiment important? milgram
378	What were the similarities and differences between the Stanford Experiment and the Milgram experiment?	What were the similarities and differences between the Stanford Experiment and the Milgram Experiment	What were the similarities and differences between the Stanford Experiment and Milgram Experiment? experiments
401	What are the origins of popular music?	What are the origins of popular music	What are the origins of popular music?
402	What are popular music's characteristics?	What are characteristics of popular music	What are the characteristics of popular music?
403	What technological developments enabled popular music?	What technological developments enabled popular music	What technological developments enabled popular music?
404	When and why did people start taking pop music seriously?	When and why did people start taking pop seriously music popular	When and why did people start taking pop seriously? popular music
405	How has pop music been integrated into music education?	How has pop music been integrated into music education popular	How has pop music been integrated into music education? popular
406	Describe some of the influential pop bands.	Describe some of the influential pop bands music popular	Describe some of the influential pop bands. popular
407	What makes a song pop punk?	What makes a pop song punk	What makes a song punk pop? music
408	What is the difference between pop punk and emo?	What is the difference between pop punk and emo	What is the difference between pop punk and emo? music
491	How was Netflix started?	How was Netflix started	How was Netflix started?
492	How did Netflix originally work?	How did Netflix originally work	How did Netflix originally work?
493	What is Netflix's relationship with Blockbuster?	What is Netflix's relationship with Blockbuster	What is Netflix's relationship with Blockbuster?
494	When did Netflix shift from DVDs to a streaming service?	When did Netflix shift from DVDs to a streaming service	When did Netflix shift from DVDs to a streaming service?
495	What are Netflix's other competitors than Blockbuster?	What are Netflix's other competitors blockbuster	What are Netflix's other competitors?
496	How does Netflix compare to Amazon Prime Video?	How does Netflix compare to Amazon Prime Video	How does Netflix compare to Amazon Prime Video?
497	Describe Netflix's subscriber growth over time.	Describe Netflix’s subscriber growth over time	Describe Netflix’s subscriber growth over time.
498	How has Netflix changed the way TV is watched?	How has Netflix changed the way TV is watched	How has Netflix changed the way TV is watched?
501	What was the first artificial satellite?	What was the first artificial satellite	What was the first artificial satellite?
502	What are the types of satellite orbits?	What are the types of artificial satellite orbits	What are the types of artificial satellite orbits?
503	What are the important classes of artificial satellites?	What are the important classes of artificial satellite	What are the important classes of artificial satellite?
504	How do satellite navigation systems work?	How do navigation systems work on artificial satellites	How do navigation systems work in artificial satellite?
505	What is the Galileo system and why is it important?	What is the Galileo system and why is it important navigation	What is the Galileo system and why is it important?
506	Why did the Galileo system create tension with the US?	Why did Galileo create tension with the US satellite system	Why did Galileo create tension with the US? system
507	What are Cubesats?	What are Cubesats galileo	What are Cubesats?
508	What are Cubesats' advantages?	What are Cubesats advantages	What are Cubesats advantages?
541	What is worth seeing in Washington D.C.?	What is worth seeing in Washington D.C.	What is worth seeing in Washington D.C.?
542	Which Smithsonian museums in Washington D.C. are the most popular?	Which Smithsonian museums are the most popular in Washington D.C.	Which Smithsonian museums are the most popular in Washington D.C.?
543	Why is the National Air and Space Museum important?	Why is the National Air and Space Museum important smithsonian washington	Why is the National Air and Space Museum important?
544	Is the Spy Museum in Washington D.C. free?	Is the Spy Museum free national air washington space	Is the Spy Museum free? national air space
545	What is there to do in Washington D.C. after the museums close?	What is there to do in DC after the Smithsonian museums close	What is there to do in DC after the Smithsonian museums close?
546	What is the best time to visit the reflecting pools in Washington D.C.?	What is the best time to visit the reflecting pools in the National Air and Space Museum dc washington	What is the best time to visit the reflecting pools in the National Air and Space Museum? smithsonian
547	Are there any famous foods in Washington D.C.?	Are there any famous foods in DC after the museums close pools reflecting washington	Are there any famous foods in the Spy Museum?
548	What is a DC half smoke?	What is a DC half smoke	What is a DC half smoke?
549	Tell me about DC half smoke's history.	Tell me about the DC half smoke	Tell me about the history of the National Air and Space Museum.
561	What is Darwin’s theory in a nutshell?	What is Darwin’s theory in a nutshell	What is Darwin’s theory in a nutshell?
562	How was Darwin’s theory developed?	How was Darwin's theory developed	How was Darwin's theory developed?
563	How do sexual and asexual reproduction affect Darwin’s theory?	How do sexual and asexual reproduction affect Darwin's theory	How do sexual and asexual reproduction affect Darwin's theory?
564	How can fossils be used to understand Darwin’s theory?	How can fossils be used to understand Darwin's theory	How can fossils be used to understand Darwin's theory?
565	What is modern evidence for Darwin’s theory?	What is modern evidence for Darwin's theory	What is modern evidence for Darwin's theory?
566	What is the impact of Darwin’s theory on modern biology?	What is the impact on modern biology on Darwin theory	What is the impact of Darwin's theory on modern biology?
567	Compare and contrast microevolution and macroevolution.	Compare and contrast microevolution and macroevolution darwin theory	Compare and contrast microevolution and macroevolution. darwin
568	What is the relationship of Darwin's theory to speciation?	What is the relationship to speciation and microevolution darwin theory	What is the relationship to speciation? darwin
581	What is a real-time database?	What is a real-time database	What is a real-time database?
582	How does a real-time database differ from traditional databases?	How does a real-time database differ from traditional ones real time	How does database differ from traditional ones? real time
583	What are the advantages of real-time processing in real-time databases?	What are the advantages of real-time processing database	What are the advantages of real-time processing? database
584	What are examples of important real-time databases?	What are examples of important real-time databases time processing real	What are examples of important real-time processing? database
