qid	Human	Raw-T5	Rewritten-T5
811	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
812	Now my garage door opener stopped working. Why?	Why has the garage door opener stopped working?	Now the garage door opener stopped working. Why?
813	How much does it cost for someone to repair a garage door opener?	How much does it cost for someone to fix the garage door opener?	How much does it cost for someone to fix the garage door opener?
814	How much does it cost to replace a garage door opener?	How about replacing your garage door opener instead?	How about replacing the garage door opener instead?
815	How do I choose a new garage door opener?	How do I choose a new garage door opener?	How do I choose a new garage door opener?
816	What does a smart garage door opener do?	What does a smart garage door opener do?	What does a smart garage door opener do?
817	What's important for me to know about the safety of smart garage door openers?	What's important for me to know about my garage door opener's safety?	What's important for me to know about the garage door opener's safety?
818	How could smart garage door openers be hacked?	How could your garage door opener be hacked?	How could the garage door opener be hacked?
821	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.
822	What are the pros and cons of GMO food labeling?	What are the pros and cons of GMO Food labeling?	What are the pros and cons of GMO Food labeling?
823	What are the cons of GMO food labeling?	And what about the cons of GMO Food labeling?	And what about the cons of GMO Food labeling?
824	What are the GMO food labeling rules in the EU?	What are the EU rules for GMO labeling?	What are the EU rules for GMO Food labeling?
825	Tell me about traceability tools for GMO foods in the EU.	Tell me more about traceability tools for GMO food labeling	Tell me more about traceability tools for GMO Food labeling.
826	What is the role of Co-Extra in GMO food traceability in the EU?	What is the role of Co-Extra in GM food labeling?	What is the role of Co-Extra in the GMO Food labeling?
827	How is food tested for GMO contamination?	How is testing done for contamination of genetically modified food?	How is testing done for contamination of genetically modified food?
828	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	What's the difference between the European and US approaches to GMO labeling?	What's the difference between the European and US approaches to GMO Food labeling?
829	How does the DNA-based method work for testing GMO contamination.	How does the DNA-based method work for GMOs?	How does the DNA-based method work for GMO Food labeling?
8210	How could Co-Extra improve DNA-based testing for GMO contamination?	How could Co-Extra improve GMO Food labeling?	How could Co-Extra improve the GMO Food labeling?
831	What are some interesting facts about bees?	What are some interesting facts about bees?	What are some interesting facts about bees?
832	Why doesn't honey spoil?	Why doesn't honey never spoil?	Why doesn't honey spoil?
833	Why are so many bees dying?	Why are so many bees dying?	Why are so many bees dying?
834	What can be done to stop bees from dying?	What can be done to stop bee deaths?	What can be done to stop bees dying?
835	What has happened to bee habitat?	What has happened to bee habitat?	What has happened to bees habitat?
836	What can I do to help provide a habitat for bees?	What can I do to help with the problem of honey bees dying?	What can I do to help with the problem of bees dying?
837	What is the cause of colony collapse disorder?	What is the cause of CCD?	What is the cause of CCD?
838	What would happen if the bees died out?	What would happen if the bees died out?	What would happen if bees died out?
841	How does seed investment work for startups?	How does seed investment work for startups?	How does seed investment work for startups?
842	Tell me more about angel investment rounds.	Tell me more about angel rounds for startups	Tell me more about angel rounds for startups.
843	How does an angel investment round compare with crowdfunding?	How does Tell Me More compare with crowdfunding?	How does Tell Me More compare with crowdfunding?
844	How much is a typical A series investment round?	How much is a typical A series round for startups?	How much is a typical A series round for startups?
